13人目の埋葬者,ジュウサンニンメノマイソウシャ
2人3脚ゾンビ,ニニンサンキャクゾンビ
3万年の白亀,サンマンネンノシロカメ
CNo.101 S・H・Dark Knight,カオスナンバーズヒャクイチ サイレント・オナーズ・ダーク・ナイト
CNo.102 光堕天使ノーブル・デーモン,カオスナンバーズヒャクニ アンホーリー・ライトニングノーブル・デーモン
CNo.103 神葬零嬢ラグナ・インフィニティ,カオスナンバーズヒャクサン シンソウレイジョウラグナ・インフィニティ
CNo.104 仮面魔踏士アンブラル,カオスナンバーズヒャクヨン マスカレード・マジシャンアンブラル
CNo.105 BK 彗星のカエストス,カオスナンバーズヒャクゴ バーニングナックラー スイセイノカエストス
CNo.106 溶岩掌ジャイアント・ハンド・レッド,カオスナンバーズヒャクロク ヨウガンショウジャイアント・ハンド・レッド
CNo.107 超銀河眼の時空龍,カオスナンバーズヒャクナナ ネオ・ギャラクシーアイズ・タキオン・ドラゴン
CNo.15 ギミック・パペット-シリアルキラー,カオスナンバーズジュウゴ ギミック・パペット-シリアルキラー
CNo.32 海咬龍シャーク・ドレイク・バイス,カオスナンバーズサンジュウニ カイコウリュウシャーク・ドレイク・バイス
CNo.39 希望皇ホープレイ,カオスナンバーズサンジュウキュウ キボウオウホープレイ
CNo.39 希望皇ホープレイ・ヴィクトリー,カオスナンバーズサンジュウキュウ キボウオウホープレイ・ヴィクトリー
CNo.39 希望皇ホープレイV,カオスナンバーズサンジュウキュウ キボウオウホープレイブイ
CNo.40 ギミック・パペット-デビルズ・ストリングス,カオスナンバーズヨンジュウ ギミック・パペット-デビルズ・ストリングス
CNo.43 魂魄傀儡鬼神カオス・マリオネッター,カオスナンバーズヨンジュウサン コンバククグツキシンカオス・マリオネッター
CNo.5 亡朧龍 カオス・キマイラ・ドラゴン,カオスナンバーズゴ モウロウリュウ カオス・キマイラ・ドラゴン
CNo.6 先史遺産カオス・アトランタル,カオスナンバーズロク オーパーツカオス・アトランタル
CNo.65 裁断魔王ジャッジ・デビル,カオスナンバーズロクジュウゴ サイダンマオウジャッジ・デビル
CNo.69 紋章死神カオス・オブ・アームズ,カオスナンバーズロクジュウキュウ デスメダリオンカオス・オブ・アームズ
CNo.73 激瀧瀑神アビス・スープラ,カオスナンバーズナナジュウサン ゲキロウバクシンアビス・スープラ
CNo.80 葬装覇王レクイエム・イン・バーサーク,カオスナンバーズハチジュウ ソウソウハオウレクイエム・イン・バーサーク
CNo.88 ギミック・パペット-ディザスター・レオ,カオスナンバーズハチジュウハチ ギミック・パペット-ディザスター・レオ
CNo.9 天蓋妖星カオス・ダイソン・スフィア,カオスナンバーズキュウ テンガイヨウセイカオス・ダイソン・スフィア
CNo.92 偽骸虚龍 Heart-eartH Chaos Dragon,カオスナンバーズキュウジュウニ ギガイキョリュウ ハートアース・カオス・ドラゴン
CNo.96 ブラック・ストーム,カオスナンバーズキュウジュウロク ブラック・ストーム
D・D・R,ディー・ディー・アール
DDD超死偉王パープリッシュ・ヘル・アーマゲドン,ディーディーディーチョウシイオウパープリッシュ・ヘル・アーマゲドン
DDD超視王ゼロ・マクスウェル,ディーディーディーチョウシオウゼロ・マクスウェル
DNA移植手術,ディーエヌエーイショクシュジュツ
DNA改造手術,ディーエヌエーカイゾウシュジュツ
DNA定期健診,ディーエヌエーテイキケンシン
Dragoon D-END,ドラグーン ディー-エンド
EMゴールド・ファング,エンタメイトゴールド・ファング
FNo.0 未来皇ホープ,フューチャーナンバーズゼロ ミライオウホープ
FNo.0 未来皇ホープ-フューチャー・スラッシュ,フューチャーナンバーズゼロ ミライオウホープ-フューチャー・スラッシュ
KA-2 デス・シザース,ケーエー-ツー デス・シザース
No.10 白輝士イルミネーター,ナンバーズジュウ シロキシイルミネーター
No.100 ヌメロン・ドラゴン,ナンバーズヒャク ヌメロン・ドラゴン
No.101 S・H・Ark Knight,ナンバーズヒャクイチ サイレント・オナーズ・アーク・ナイト
No.102 光天使グローリアス・ヘイロー,ナンバーズヒャクニ ホーリー・ライトニンググローリアス・ヘイロー
No.103 神葬零嬢ラグナ・ゼロ,ナンバーズヒャクサン シンソウレイジョウラグナ・ゼロ
No.104 仮面魔踏士シャイニング,ナンバーズヒャクヨン マスカレード・マジシャンシャイニング
No.105 BK 流星のセスタス,ナンバーズヒャクゴ バーニングナックラー リュウセイノセスタス
No.106 巨岩掌ジャイアント・ハンド,ナンバーズヒャクロク キョガンショウジャイアント・ハンド
No.107 銀河眼の時空竜,ナンバーズヒャクナナ ギャラクシーアイズ・タキオン・ドラゴン
No.11 ビッグ・アイ,ナンバーズジュウイチ ビッグ・アイ
No.12 機甲忍者クリムゾン・シャドー,ナンバーズジュウニ キコウニンジャクリムゾン・シャドー
No.13 ケインズ・デビル,ナンバーズジュウサン ケインズ・デビル
No.15 ギミック・パペット-ジャイアントキラー,ナンバーズジュウゴ ギミック・パペット-ジャイアントキラー
No.16 色の支配者ショック・ルーラー,ナンバーズジュウロク イロノシハイシャショック・ルーラー
No.17 リバイス・ドラゴン,ナンバーズジュウナナ リバイス・ドラゴン
No.18 紋章祖プレイン・コート,ナンバーズジュウハチ モンショウソプレイン・コート
No.19 フリーザードン,ナンバーズジュウキュウ フリーザードン
No.20 蟻岩土ブリリアント,ナンバーズニジュウ ギガントブリリアント
No.22 不乱健,ナンバーズニジュウニ フランケン
No.23 冥界の霊騎士ランスロット,ナンバーズニジュウサン メイカイノレイキシランスロット
No.24 竜血鬼ドラギュラス,ナンバーズニジュウヨン リュウケツキドラギュラス
No.25 重装光学撮影機フォーカス・フォース,ナンバーズニジュウゴ フルメタル・フォトグライドフォーカス・フォース
No.28 タイタニック・モス,ナンバーズニジュウハチ タイタニック・モス
No.30 破滅のアシッド・ゴーレム,ナンバーズサンジュウ ハメツノアシッド・ゴーレム
No.31 アベルズ・デビル,ナンバーズサンジュウイチ アベルズ・デビル
No.32 海咬龍シャーク・ドレイク,ナンバーズサンジュウニ カイコウリュウシャーク・ドレイク
No.33 先史遺産-超兵器マシュ=マック,ナンバーズサンジュウサン オーパーツ-チョウヘイキマシュイコールマック
No.34 電算機獣テラ・バイト,ナンバーズサンジュウヨン デンサンキジュウテラ・バイト
No.35 ラベノス・タランチュラ,ナンバーズサンジュウゴ ラベノス・タランチュラ
No.36 先史遺産-超機関フォーク=ヒューク,ナンバーズサンジュウロク オーパーツ-チョウキカンフォークイコールヒューク
No.37 希望織竜スパイダー・シャーク,ナンバーズサンジュウナナ キボウシキリュウスパイダー・シャーク
No.38 希望魁竜タイタニック・ギャラクシー,ナンバーズサンジュウハチ キボウカイリュウタイタニック・ギャラクシー
No.39 希望皇ビヨンド・ザ・ホープ,ナンバーズサンジュウキュウ キボウオウビヨンド・ザ・ホープ
No.39 希望皇ホープ,ナンバーズサンジュウキュウ キボウオウホープ
No.39 希望皇ホープ・ルーツ,ナンバーズサンジュウキュウ キボウオウホープ・ルーツ
No.40 ギミック・パペット-ヘブンズ・ストリングス,ナンバーズヨンジュウ ギミック・パペット-ヘブンズ・ストリングス
No.42 スターシップ・ギャラクシー・トマホーク,ナンバーズヨンジュウニ スターシップ・ギャラクシー・トマホーク
No.43 魂魄傀儡鬼ソウル・マリオネッター,ナンバーズヨンジュウサン コンバククグツキソウル・マリオネッター
No.44 白天馬スカイ・ペガサス,ナンバーズヨンジュウヨン ハクテンマスカイ・ペガサス
No.45 滅亡の予言者 クランブル・ロゴス,ナンバーズヨンジュウゴ メツボウノヨゲンシャ クランブル・ロゴス
No.46 神影龍ドラッグルーオン,ナンバーズヨンジュウロク シンエイリュウドラッグルーオン
No.47 ナイトメア・シャーク,ナンバーズヨンジュウナナ ナイトメア・シャーク
No.48 シャドー・リッチ,ナンバーズヨンジュウハチ シャドー・リッチ
No.49 秘鳥フォーチュンチュン,ナンバーズヨンジュウキュウ ヒチョウフォーチュンチュン
No.50 ブラック・コーン号,ナンバーズゴジュウ ブラック・コーンゴウ
No.51 怪腕のフィニッシュ・ホールド,ナンバーズゴジュウイチ カイワンノフィニッシュ・ホールド
No.52 ダイヤモンド・クラブ・キング,ナンバーズゴジュウニ ダイヤモンド・クラブ・キング
No.53 偽骸神 Heart-eartH,ナンバーズゴジュウサン ギガイシン ハートアース
No.54 反骨の闘士ライオンハート,ナンバーズゴジュウヨン ハンコツノトウシライオンハート
No.55 ゴゴゴゴライアス,ナンバーズゴジュウゴ ゴゴゴゴライアス
No.56 ゴールドラット,ナンバーズゴジュウロク ゴールドラット
No.57 奮迅竜トレスラグーン,ナンバーズゴジュウナナ フンジンリュウトレスラグーン
No.58 炎圧鬼バーナー・バイサー,ナンバーズゴジュウハチ エンアッキバーナー・バイサー
No.59 背反の料理人,ナンバーズゴジュウキュウ バック・ザ・コック
No.6 先史遺産アトランタル,ナンバーズロク オーパーツアトランタル
No.61 ヴォルカザウルス,ナンバーズロクジュウイチ ヴォルカザウルス
No.62 銀河眼の光子竜皇,ナンバーズロクジュウニ ギャラクシーアイズ・プライム・フォトン・ドラゴン
No.63 おしゃもじソルジャー,ナンバーズロクジュウサン オシャモジソルジャー
No.64 古狸三太夫,ナンバーズロクジュウヨン フルダヌキサンダユウ
No.65 裁断魔人ジャッジ・バスター,ナンバーズロクジュウゴ サイダンマジンジャッジ・バスター
No.66 覇鍵甲虫マスター・キー・ビートル,ナンバーズロクジュウロク ハケンコウチュウマスター・キー・ビートル
No.69 紋章神コート・オブ・アームズ,ナンバーズロクジュウキュウ ゴッド・メダリオンコート・オブ・アームズ
No.7 ラッキー・ストライプ,ナンバーズナナ ラッキー・ストライプ
No.70 デッドリー・シン,ナンバーズナナジュウ デッドリー・シン
No.72 ラインモンスター チャリオッツ・飛車,ナンバーズナナジュウニ ラインモンスター チャリオッツ・ヒシャ
No.73 激瀧神アビス・スプラッシュ,ナンバーズナナジュウサン ゲキロウシンアビス・スプラッシュ
No.74 マジカル・クラウン-ミッシング・ソード,ナンバーズナナジュウヨン マジカル・クラウン-ミッシング・ソード
No.77 ザ・セブン・シンズ,ナンバーズナナジュウナナ ザ・セブン・シンズ
No.78 ナンバーズ・アーカイブ,ナンバーズナナジュウハチ ナンバーズ・アーカイブ
No.79 BK 新星のカイザー,ナンバーズナナジュウキュウ バーニングナックラー シンセイノカイザー
No.8 紋章王ゲノム・ヘリター,ナンバーズハチ モンショウオウゲノム・ヘリター
No.80 狂装覇王ラプソディ・イン・バーサーク,ナンバーズハチジュウ キョウソウハオウラプソディ・イン・バーサーク
No.81 超弩級砲塔列車スペリオル・ドーラ,ナンバーズハチジュウイチ チョウドキュウホウトウレッシャスペリオル・ドーラ
No.82 ハートランドラコ,ナンバーズハチジュウニ ハートランドラコ
No.83 ギャラクシー・クィーン,ナンバーズハチジュウサン ギャラクシー・クィーン
No.84 ペイン・ゲイナー,ナンバーズハチジュウヨン ペイン・ゲイナー
No.85 クレイジー・ボックス,ナンバーズハチジュウゴ クレイジー・ボックス
No.86 H-C ロンゴミアント,ナンバーズハチジュウロク ヒロイック-チャンピオン ロンゴミアント
No.87 雪月花美神クイーン・オブ・ナイツ,ナンバーズハチジュウナナ セツゲッカビシンクイーン・オブ・ナイツ
No.88 ギミック・パペット-デステニー・レオ,ナンバーズハチジュウハチ ギミック・パペット-デステニー・レオ
No.9 天蓋星ダイソン・スフィア,ナンバーズキュウ テンガイセイダイソン・スフィア
No.91 サンダー・スパーク・ドラゴン,ナンバーズキュウジュウイチ サンダー・スパーク・ドラゴン
No.92 偽骸神龍 Heart-eartH Dragon,ナンバーズキュウジュウニ ギガイシンリュウ ハートアース・ドラゴン
No.93 希望皇ホープ・カイザー,ナンバーズキュウジュウサン キボウオウホープ・カイザー
No.94 極氷姫クリスタル・ゼロ,ナンバーズキュウジュウヨン キョクヒョウキクリスタル・ゼロ
No.95 ギャラクシーアイズ・ダークマター・ドラゴン,ナンバーズキュウジュウゴ ギャラクシーアイズ・ダークマター・ドラゴン
No.96 ブラック・ミスト,ナンバーズキュウジュウロク ブラック・ミスト
No.98 絶望皇ホープレス,ナンバーズキュウジュウハチ ゼツボウオウホープレス
No.99 希望皇龍ホープドラグーン,ナンバーズキュウジュウキュウ キボウオウリュウホープドラグーン
SNo.39 希望皇ホープ・ザ・ライトニング,シャイニングナンバーズサンジュウキュウ キボウオウホープ・ザ・ライトニング
SNo.39 希望皇ホープONE,シャイニングナンバーズサンジュウキュウ キボウオウホープワン
TG1-EM1,ティージーワン-イーエムワン
TG-SX1,ティージー-エスエックスワン
TGX1-HL,ティージーエックスワン-エイチエル
TGX300,ティージーエックススリーハンドレッド
TGX3-DX2,ティージーエックススリー-ディーエックスツー
TM-1ランチャースパイダー,ティーエム-ワンランチャースパイダー
UFOタートル,ユーフォータートル
アームド・ドラゴン LV10,アームド・ドラゴン レベルテン
アームド・ドラゴン LV3,アームド・ドラゴン レベルスリー
アームド・ドラゴン LV5,アームド・ドラゴン レベルファイブ
アームド・ドラゴン LV7,アームド・ドラゴン レベルセブン
アルティメット・インセクト LV1,アルティメット・インセクト レベルワン
アルティメット・インセクト LV3,アルティメット・インセクト レベルスリー
アルティメット・インセクト LV5,アルティメット・インセクト レベルファイブ
アルティメット・インセクト LV7,アルティメット・インセクト レベルセブン
エクシーズ熱戦!!,エクシーズネッセン!!
ギアギアーノ Mk-II,ギアギアーノ マーク-ツー
ギアギアーノ Mk-III,ギアギアーノ マークスリー
サイバー・オーガ・2,サイバー・オーガ・ツー
サイレント・ソードマン LV3,サイレント・ソードマン レベルスリー
サイレント・ソードマン LV5,サイレント・ソードマン レベルファイブ
サイレント・ソードマン LV7,サイレント・ソードマン レベルセブン
サイレント・マジシャン LV4,サイレント・マジシャン レベルフォー
サイレント・マジシャン LV8,サイレント・マジシャン レベルエイト
スーパージュニア対決!,スーパージュニアタイケツ!
スピード・キング☆スカル・フレイム,スピード・キング☆スカル・フレイム
スロットマシーンAM-7,スロットマシーンエーエム-セブン
トラップ処理班 Aチーム,トラップショリハン エーチーム
バーバリアン1号,バーバリアンイチゴウ
バーバリアン2号,バーバリアンニゴウ
ハネクリボー LV10,ハネクリボー レベルテン
ハネクリボー LV9,ハネクリボー レベルナイン
ヒーローズルール2,ヒーローズルールツー
ブルーサンダーT45,ブルーサンダーティーフォーティーファイブ
ホルスの黒炎竜 LV4,ホルスノコクエンリュウ レベルフォー
ホルスの黒炎竜 LV6,ホルスノコクエンリュウ レベルシックス
ホルスの黒炎竜 LV8,ホルスノコクエンリュウ レベルエイト
マグネッツ1号,マグネッツイチゴウ
マグネッツ2号,マグネッツニゴウ
マジマジ☆マジシャンギャル,マジマジ☆マジシャンギャル
ミスティック・ソードマン LV2,ミスティック・ソードマン レベルツー
ミスティック・ソードマン LV4,ミスティック・ソードマン レベルフォー
ミスティック・ソードマン LV6,ミスティック・ソードマン レベルシックス
ライバル登場!,ライバルトウジョウ!
レベル制限A地区,レベルセイゲンエーチク
レベル制限B地区,レベルセイゲンビーチク
暗黒のミミック LV1,アンコクノミミック レベルワン
暗黒のミミック LV3,アンコクノミミック レベルスリー
機械王-B.C.3000,キカイオウ-ビー.シー.サンゼン
鬼タンクT-34,オニタンクティー-サンジュウヨン
巨大戦艦 ビッグ・コアMk-II,キョダイセンカン ビッグ・コアマーク-ツー
巨大戦艦 ビッグ・コアMk-III,キョダイセンカン ビッグ・コアマークスリー
結束 UNITY,ケッソク ユニティ
死の4つ星てんとう虫,シノヨツボシテントウムシ
磁力の召喚円 LV2,マグネットサークス レベルツー
漆黒の魔王 LV4,ダーク・ルシアス レベルフォー
漆黒の魔王 LV6,ダーク・ルシアス レベルシックス
漆黒の魔王 LV8,ダーク・ルシアス レベルエイト
疾風!凶殺陣,シップウ!キョウサツジン
進入禁止!No Entry!!,シンニュウキンシ!ノーエントリー!!
人造人間7号,ジンゾウニンゲンナナゴウ
水陸両用バグロス Mk-3,スイリクリョウヨウバグロス マーク-スリー
成功確率0%,セイコウカクリツゼロパーセント
星遺物の導き,セイイブツノミチビキ
体力増強剤スーパーZ,タイリョクゾウキョウザイスーパーZ
大金星!?,ダイキンボシ!?
独奏の第1楽章,ドクソウノダイイチガクショウ
罰ゲーム!,バツゲーム!
蛮族の狂宴LV5,バンゾクノキョウエンレベルファイブ
必殺!黒蠍コンビネーション,ヒッサツ!クロサソリコンビネーション
副作用?,フクサヨウ?
摩天楼2-ヒーローシティ,マテンロウツー-ヒーローシティ
魔術師の右手,マジュツシノミギテ
魔導紳士-J,マドウシンシ-ジェー
魅惑の女王 LV3,アリュール・クイーン レベルスリー
魅惑の女王 LV5,アリュール・クイーン レベルファイブ
魅惑の女王 LV7,アリュール・クイーン レベルセブン
友情 YU-JYO,ユウジョウ ユウジョウ
六武衆推参!,ロクブシュウスイサン!
